agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
des,all,30-34,4.9,2,2,1,1,34.0,4.925833390156428,0.03299826531719594,0.794166649132967,37.46166660785675,2.4949084465170253,13.968458310763042,1.0475197734601684,94.70833381017047,28.265145502478976,19.58643482490816,14.987878713139974,6.416260723226006,9.5,13.612258280262994,-13.277266789339006,False
des,all,30-34,5.0,10,10,8,2,32.1,4.99066667675972,0.0171269574218558,0.7602499905228615,38.07033333301544,9.421825917097516,13.605883309046428,2.181483206686424,96.31133374532064,21.650033065538274,13.511385962878592,12.016604589677565,0.9732164414948155,9.5,13.238788642998008,-9.633428475860711,True
des,all,30-34,5.4,2,2,2,0,32.5,5.407916754484177,0.03948009096506423,0.800000011920929,35.970833245913184,0.21920307294601912,12.837041660149893,1.9891502599075324,97.16625073750814,19.672190003048676,11.253485725109778,9.599683111187762,-2.491432828828339,9.5,11.83257009110272,-10.072506891860915,False
des,all,30-34,5.5,7,7,4,3,32.142857142857146,5.503571425165449,0.022125014397457166,0.8096428676020532,38.64880948520842,9.503828531859101,14.243154765310743,2.114916122370533,98.26666668483189,18.92460536051338,11.02669838924712,10.311528032537245,-0.44035996439307995,9.5,11.86242323446614,-8.613077327976132,True
des,all,30-34,5.7,3,3,2,1,31.666666666666668,5.693610926469167,0.006683998856478083,0.800000011920929,26.719166692097986,3.0463818404954424,11.210999978913202,0.6343885870011668,97.33444478776721,24.09125958658184,15.073375999474214,13.495858905639416,-0.6366222182351758,9.5,15.466034196161274,-10.595400680942424,True
des,all,30-34,5.9,1,1,1,0,32.0,5.870833456516266,,0.800000011920929,30.59583331743876,,12.310083293914795,,98.4025006612142,21.745750786165164,14.25990677635265,14.99480212130199,2.496784963085461,9.5,17.618123713643083,-6.750948664863174,False
des,all,30-34,6.0,6,6,4,2,32.5,6.002638886372249,0.015396744234706916,0.8326388891372415,35.52277779844072,8.322675492567102,13.816444414191773,2.0990416533774146,97.77847288979426,20.776613002777527,12.207431869975577,9.987826036185227,-0.19813697802584004,9.5,11.133174335886693,-10.788786966592298,True
des,all,30-34,6.1,1,1,1,0,32.0,6.067499935626984,,0.868333320816358,25.456666676203408,,10.777083309491475,,99.16833375295003,24.43455859922333,13.732320907178543,9.738354642917052,-2.527273777628162,8.5,11.216375507803372,-14.696203956306276,False
des,all,30-34,6.2,2,2,1,1,32.5,6.173333168029785,0.029462754451540472,0.8999999761581421,36.235416769981384,5.340424016611531,14.70333331823349,1.5386642765134602,97.84833399454752,20.95066422917249,13.125625019142095,11.817291000706419,1.6800748757700785,9.5,13.682798956292988,-9.13337322846607,False
des,all,30-34,6.5,3,3,1,2,33.333333333333336,6.486111124356587,0.024056238274395937,0.9019444210661782,38.228333489100145,2.6766868760358316,14.443499967787004,0.8832705977214528,98.58638945685493,20.92720155904527,12.948185804073093,11.090104475276613,1.0603689746654372,9.5,12.51217576726946,-9.837097083768658,True
des,all,30-34,6.7,1,1,1,0,32.0,6.650833189487457,,0.9283333162466684,34.73916665712992,,14.843416659037272,,98.10750102996826,20.803844125189407,13.678663440618063,12.131127284174434,2.191608399155198,8.5,14.260483952725544,-8.672716841014973,False
